Epoch:  5 | train enc_loss: 0.39353 | running time: 154.78 sec
Epoch:  6 | train enc_loss: 0.36986 | running time: 154.66 sec
Epoch:  7 | train enc_loss: 0.35615 | running time: 154.50 sec
Epoch:  8 | train enc_loss: 0.34068 | running time: 155.39 sec
Epoch:  9 | train enc_loss: 0.32200 | running time: 154.55 sec
Epoch: 10 | train enc_loss: 0.31986 | running time: 154.83 sec
Epoch: 11 | train enc_loss: 0.29975 | running time: 154.78 sec
Epoch: 12 | train enc_loss: 0.28804 | running time: 154.68 sec
Epoch: 13 | train enc_loss: 0.28105 | running time: 154.37 sec
Epoch: 14 | train enc_loss: 0.27461 | running time: 154.60 sec
Epoch: 15 | train enc_loss: 0.25770 | running time: 154.75 sec
Epoch: 16 | train enc_loss: 0.25826 | running time: 154.68 sec
Epoch: 17 | train enc_loss: 0.25073 | running time: 155.08 sec
Epoch: 18 | train enc_loss: 0.24148 | running time: 154.50 sec
Epoch: 19 | train enc_loss: 0.22792 | running time: 155.16 sec
Epoch: 20 | train enc_loss: 0.22743 | running time: 154.59 sec
Epoch: 21 | train enc_loss: 0.17137 | running time: 155.12 sec
python thumos_lstm_train.py --gpu 0,1,2,3 --distributed --verbose
Epoch:  1 | train enc_loss: 0.93167 | running time: 165.61 sec
Epoch:  2 | train enc_loss: 0.55790 | running time: 154.24 sec
Epoch:  3 | train enc_loss: 0.46845 | running time: 154.96 sec
Epoch:  4 | train enc_loss: 0.42426 | running time: 154.84 sec
Epoch:  5 | train enc_loss: 0.39353 | running time: 155.05 sec
Epoch:  6 | train enc_loss: 0.36986 | running time: 155.04 sec
Epoch:  7 | train enc_loss: 0.35615 | running time: 154.99 sec
Epoch:  8 | train enc_loss: 0.34068 | running time: 155.41 sec
Epoch:  9 | train enc_loss: 0.32200 | running time: 155.00 sec
Epoch: 10 | train enc_loss: 0.31986 | running time: 154.89 sec
Epoch: 11 | train enc_loss: 0.29975 | running time: 155.42 sec
Epoch: 12 | train enc_loss: 0.28804 | running time: 154.92 sec
Epoch: 13 | train enc_loss: 0.28105 | running time: 154.87 sec
Epoch: 14 | train enc_loss: 0.27461 | running time: 154.95 sec
Epoch: 15 | train enc_loss: 0.25770 | running time: 155.15 sec
Epoch: 16 | train enc_loss: 0.25826 | running time: 154.87 sec
Epoch: 17 | train enc_loss: 0.25073 | running time: 155.28 sec
Epoch: 18 | train enc_loss: 0.24148 | running time: 154.88 sec
Epoch: 19 | train enc_loss: 0.22792 | running time: 155.34 sec
Epoch: 20 | train enc_loss: 0.22743 | running time: 154.84 sec
Epoch: 21 | train enc_loss: 0.17137 | running time: 155.19 sec
python thumos_lstm_train.py --gpu 0,1,2,3 --distributed --verbose
Epoch:  1 | train enc_loss: 1.13504 | running time: 157.61 sec
Epoch:  2 | train enc_loss: 0.97615 | running time: 147.17 sec
Epoch:  3 | train enc_loss: 0.91939 | running time: 147.45 sec
Epoch:  4 | train enc_loss: 0.88349 | running time: 147.58 sec
Epoch:  5 | train enc_loss: 0.84862 | running time: 147.38 sec
Epoch:  6 | train enc_loss: 0.82476 | running time: 147.45 sec
Epoch:  7 | train enc_loss: 0.80948 | running time: 147.59 sec
Epoch:  8 | train enc_loss: 0.78579 | running time: 147.60 sec
Epoch:  9 | train enc_loss: 0.76647 | running time: 147.62 sec
Epoch: 10 | train enc_loss: 0.74739 | running time: 147.60 sec
Epoch: 11 | train enc_loss: 0.73435 | running time: 147.51 sec
Epoch: 12 | train enc_loss: 0.71686 | running time: 147.62 sec
Epoch: 13 | train enc_loss: 0.69201 | running time: 147.64 sec
Epoch: 14 | train enc_loss: 0.67838 | running time: 147.71 sec
Epoch: 15 | train enc_loss: 0.66629 | running time: 147.58 sec
Epoch: 16 | train enc_loss: 0.64573 | running time: 147.72 sec
Epoch: 17 | train enc_loss: 0.63057 | running time: 147.61 sec
Epoch: 18 | train enc_loss: 0.61055 | running time: 147.80 sec
Epoch: 19 | train enc_loss: 0.59274 | running time: 147.56 sec
Epoch: 20 | train enc_loss: 0.58059 | running time: 147.64 sec
Epoch: 21 | train enc_loss: 0.49849 | running time: 147.34 sec
python thumos_lstm_train.py --gpu 0,1,2,3 --distributed --verbose
Epoch:  1 | train enc_loss: 1.13982 | running time: 157.52 sec
Epoch:  2 | train enc_loss: 0.98035 | running time: 147.34 sec
Epoch:  3 | train enc_loss: 0.92476 | running time: 147.48 sec
Epoch:  4 | train enc_loss: 0.88904 | running time: 147.62 sec
Epoch:  5 | train enc_loss: 0.85578 | running time: 147.55 sec
Epoch:  6 | train enc_loss: 0.83304 | running time: 147.31 sec
Epoch:  7 | train enc_loss: 0.81586 | running time: 147.26 sec
Epoch:  8 | train enc_loss: 0.79227 | running time: 147.66 sec
Epoch:  9 | train enc_loss: 0.77273 | running time: 147.37 sec
Epoch: 10 | train enc_loss: 0.75321 | running time: 147.59 sec
Epoch: 11 | train enc_loss: 0.73923 | running time: 147.61 sec
Epoch: 12 | train enc_loss: 0.72126 | running time: 147.38 sec
Epoch: 13 | train enc_loss: 0.69634 | running time: 147.25 sec
Epoch: 14 | train enc_loss: 0.68362 | running time: 147.27 sec
Epoch: 15 | train enc_loss: 0.67294 | running time: 147.33 sec
Epoch: 16 | train enc_loss: 0.65061 | running time: 147.42 sec
Epoch: 17 | train enc_loss: 0.63697 | running time: 147.33 sec
Epoch: 18 | train enc_loss: 0.62156 | running time: 147.46 sec
Epoch: 19 | train enc_loss: 0.60072 | running time: 147.40 sec
Epoch: 20 | train enc_loss: 0.58746 | running time: 147.35 sec
Epoch: 21 | train enc_loss: 0.50486 | running time: 147.38 sec
python thumos_lstm_train.py --gpu 0,1,2,3 --distributed --verbose
Epoch:  1 | train enc_loss: 1.13982 | running time: 157.63 sec
Epoch:  2 | train enc_loss: 0.98035 | running time: 150.90 sec
Epoch:  3 | train enc_loss: 0.92476 | running time: 159.45 sec
Epoch:  4 | train enc_loss: 0.88904 | running time: 155.52 sec
Epoch:  5 | train enc_loss: 0.85578 | running time: 159.98 sec
Epoch:  6 | train enc_loss: 0.83304 | running time: 150.81 sec
Epoch:  7 | train enc_loss: 0.81586 | running time: 152.63 sec
Epoch:  8 | train enc_loss: 0.79227 | running time: 160.10 sec
Epoch:  9 | train enc_loss: 0.77273 | running time: 150.30 sec
